latitude,longitude,nearest_airport_distance
38.0652286,-78.90588756,3599.23604794616
38.2542376,-85.7594069,8863.19811639198
38.4404675,-122.7144313,11489.0268230222
36.7295295,-119.7088612,5258.8489530593
33.2297793,-111.2092898,38504.3023319605
40.5863563,-122.3916753,11992.6998614076
33.294207,-111.7379465,7350.27523321378
33.4485866,-112.0773455,6274.78433589844
39.85902405,-84.11136285,6518.05535047721
35.0886963,-92.442101,29546.6052100163
61.2163129,-149.8948522,642.000393862294
38.6122751,-90.4634531,13318.0864352784
40.7670126,-111.8904307,7755.94208552813
32.9481789,-96.7297205,10220.6493406128
52.968492,-113.3679199,37805.0233624488
36.364792,-93.5679666,26766.790897174
21.304547,-157.8556763,1102.07716673754
37.104153,-113.5841312,9995.06747240738
44.0581728,-121.3153095,10009.9758006728
39.0277832,-94.6557913,8894.88894381292
39.7136754,-82.5993293,30236.7610714768
33.7358518,-118.2922933,1907.18139074933
21.5543942,-157.873405,15903.6754885396
32.7174209,-117.1627713,549.50806910234
21.4172766,-157.9986758,8524.71210374043
34.4480495,-119.2428889,19429.3044142993
26.103632,-80.40310188,6885.93526713908
38.2493581,-122.0399662,9985.69076809014
35.269381,-106.6328189,20216.2570677699
35.236207,-85.2982059,22196.1145122116
28.3647248,-82.1959177,15695.8093507963
37.5050118,-105.0077746,57665.0152030762
46.1420334,-122.9060317,2746.15226571315
36.3684245,-96.0013846,21484.3566769148
39.1637984,-119.7674033,35917.4507110865
43.0481221,-76.1474243,3637.08359876358
36.3134398,-82.3534727,17379.2117577817
26.075729,-80.28410888,9363.94418302716
39.3222209,-95.2669154,30751.9783339933
41.717613,-81.2086884,15503.1869038765
36.9486986,-84.096876,14899.2834749806
34.7370639,-82.2542833,11417.5564029261
30.165156,-85.6605594,5646.88948049107
33.3067132,-111.8408488,5024.74718326483
33.547741,-86.5591659,18107.042218626
34.2073196,-84.1401925,28448.9344162194
38.6560565,-90.5742028,6796.09902598837
37.1839682,-84.5499416,15669.7957885762
42.26306,-71.8052219,5825.35388766683
32.7174209,-117.1627713,549.50806910234
44.4669941,-73.1709603,1505.71442091604
34.6100243,-112.3157209,10758.2255013918
40.3183284,-74.42021822,6198.23787339078
40.3083174,-105.0810923,17042.8995187125
47.6631371,-117.0855724,17931.1064281431
41.8755546,-87.6244211,177.197385367032
32.8472711,-117.2742085,7723.45184025997
26.1254381,-80.1381514,2.96099588633532
41.9758872,-91.6704052,10687.8866668083
30.165156,-85.6605594,5646.88948049107
44.3777947,-83.8047086,31290.9277769832
42.5006217,-90.6647966,11576.3078636171
29.9032284,-81.4145467,9530.1125426471
41.5645337,-93.759528,8722.78096477279
34.1476452,-118.1444778,12195.3909442218
39.6419219,-77.720264,7387.26581240323
30.3321838,-81.6556509,7523.29348918568
36.4072485,-105.5730664,10520.3079990037
47.7456352,-121.0891717,51998.0985635662
33.9528472,-84.5496147,5181.25964850096
39.9062242,-75.0929516,6792.66397037408
38.929125,-119.9878464,3969.7222901163
44.9391565,-123.0331209,869.024502690627
44.8454356,-93.5297242,6081.6318806402
39.3869442,-94.5810658,15155.6421277156
41.5049873,-94.5194148,71444.9998618509
37.104153,-113.5841312,9995.06747240738
40.5508527,-105.0668084,4682.73020559912
46.5927122,-112.0361089,4354.21227802181
37.2242358,-95.708313,9609.10749793965
39.849557,-75.3557457,3259.0312155655
33.6626232,-117.5893799,13206.2667864139
45.5915958,-111.1977303,20985.104535692
43.431646,-103.4743629,50456.4397426655
42.6000863,-72.3981415,26725.4825674512
35.8845238,-84.153526,16558.3649720336
38.8368777,-107.8568293,36553.1365110314
36.8529841,-75.9774182,6154.7246252972
36.717954,-110.2606012,33677.3207507286
20.872684,-156.6762728,837.08905974268
35.9040858,-109.0335346,49013.9419459003
35.6869996,-105.9377996,15735.1667736218
38.8903961,-77.0841584,4236.61350958746
35.7331895,-81.3412005,4452.54350282588
29.5639758,-95.2864298,9093.24983297173
33.4485866,-112.0773455,6274.78433589844
45.5202471,-122.6741948,995.327296095545
28.06906015,-82.6501914,14812.2551679751
35.189443,-114.0530064,202.492634422309
38.3031837,-77.4605398,624.702103590125
36.1206306,-84.6538307,43148.0512179127
42.6106479,-71.2342247,14933.0591448799
44.8353424,-69.2739364,35340.0949920975
45.366668,-63.3000059,56513.7193936679
39.1200471,-90.3284478,35370.6292271072
38.0592942,-93.7945455,28826.425311397
41.2861336,-72.3557585,2382.96467117203
33.7490987,-84.3901848,541.655613683317
29.8946952,-81.3145394,7582.86826434454
61.2163129,-149.8948522,642.000393862294
20.9717546,-156.6756045,1022.06248885924
48.754402,-122.4788601,4454.78520029608
33.857328,-84.0199107,14455.8074106223
36.1662859,-115.1492249,563.251768706557
33.5726113,-84.4132593,7265.81485993022
41.9584367,-70.6672576,7500.56324276339
28.5479786,-81.4127841,3939.65476000886
35.9556924,-80.0053175,16963.2476467672
39.4932592,-117.0695385,120199.501888621
39.4932592,-117.0695385,120199.501888621
29.4279955,-89.6108946,60334.9972629994
40.1728871,-74.9926687,3734.32651890346
40.7902778,-73.9597221,1422.78318208085
29.0338575,-95.4343858,8746.30573632332
37.4616454,-89.2504792,35227.7151439835
41.6293398,-70.3866805,9154.79040737915
26.1482449,-80.3288858,12534.8465496241
50.4480951,-104.615818,3988.51749918893
32.7809195,-117.2524695,5725.47878029859
